prevword,nextword,prevtag,nexttag,class
словно,.,CONJ,PNCT,1
отрастать,.,INFN,PNCT,6
помахать,он,GRND,NPRO,1
прозрачный,изогнутый,ADJF,ADJF,1
хлопать,.,INFN,PNCT,1
чёрный,с,ADJF,PREP,1
.,у,PNCT,PREP,1
махать,?,VERB,PNCT,1
словно,он,CONJ,NPRO,1
весь,у,ADJF,PREP,4
пескоструйкой,и,UNKN,CONJ,4
свой,весь,ADJF,ADJF,9
передний,один,ADJF,ADJF,2
душа,вера,NOUN,NOUN,10
белые,?,NOUN,PNCT,1
конец,самолёт,NOUN,NOUN,2
оба,смирение,NUMR,NOUN,10
нога,и,NOUN,CONJ,1
раскрывать,и,VERB,CONJ,1
страдание,чайка,NOUN,NOUN,1
на,и,PREP,CONJ,1
и,советов,CONJ,UNKN,10
?,советов,PNCT,UNKN,1
люциферов,книжный,NOUN,ADJF,1
.,советов,PNCT,UNKN,10
ангел,согласно,NOUN,PREP,2
подводный,класс,ADJF,NOUN,2
разрабатывать,?,VERB,PNCT,2
не,я,UNKN,NPRO,10
?,советов,PNCT,UNKN,10
.,советов,PNCT,UNKN,10
парашют,купол,NOUN,NOUN,2
без,.,PREP,PNCT,1
подрезать,.,VERB,PNCT,1
пролить,который,PRTS,ADJF,1
сустав,порезать,NOUN,INFN,1
между,нога,PREP,NOUN,1
левый,в,ADJF,PREP,8
гражданский,президентский,ADJF,ADJF,8
радикальный,.,ADJF,PNCT,8
другой,финансировать,ADJF,PRTF,8
правый,политический,ADJF,ADJF,8
правый,.,NOUN,PNCT,8
глазьевский,что,ADJF,CONJ,8
на,лететь,PREP,VERB,1
этот,тепло,ADJF,ADVB,9
количество,.,NOUN,PNCT,1
.,полы,PNCT,UNKN,2
махать,платок,GRND,NOUN,1
он,быть,NPRO,VERB,2
бить,чтоб,VERB,CONJ,1
скосить,.,PRTF,PNCT,1
хлопать,перелететь,GRND,VERB,1
быть,ангел,VERB,NOUN,1
на,.,PREP,PNCT,9
под,родителеймиллионер,PREP,NOUN,9
большой,всплеснуть,ADJF,VERB,1
два,.,NUMR,PNCT,10
на,блаженство,PREP,NOUN,10
набрать,уже,GRND,ADVB,1
а,сотворить,CONJ,VERB,1
как,чувство,CONJ,NOUN,1
расправлять,набирать,PRTF,PRTF,1
белые,лететь,NOUN,VERB,1
вороний,сметать,ADJF,VERB,1
хлопать,пролетать,GRND,VERB,1
на,поднимать,PREP,VERB,1
с,подбирать,PREP,VERB,10
под,самолёт,PREP,NOUN,2
под,.,PREP,PNCT,1
под,точный,PREP,ADJF,9
и,.,CONJ,PNCT,6
под,у,PREP,PREP,2
он,быть,NPRO,VERB,2
полукруглый,вхутемас,ADJF,NOUN,6
