prevword,nextword,prevtag,nexttag,word,class
словно,.,CONJ,PNCT,0,1
отрастать,.,INFN,PNCT,0,6
помахать,он,GRND,NPRO,0,1
прозрачный,изогнутый,ADJF,ADJF,0,1
хлопать,.,INFN,PNCT,0,1
чёрный,с,ADJF,PREP,0,1
.,у,PNCT,PREP,0,1
махать,?,VERB,PNCT,0,1
словно,он,CONJ,NPRO,0,1
весь,у,ADJF,PREP,0,4
пескоструйкой,и,UNKN,CONJ,0,4
свой,весь,ADJF,ADJF,0,9
передний,один,ADJF,ADJF,0,2
душа,вера,NOUN,NOUN,0,10
белые,?,NOUN,PNCT,0,1
конец,самолёт,NOUN,NOUN,0,2
оба,смирение,NUMR,NOUN,0,10
нога,и,NOUN,CONJ,0,1
раскрывать,и,VERB,CONJ,0,1
страдание,чайка,NOUN,NOUN,0,1
на,и,PREP,CONJ,0,1
и,советов,CONJ,UNKN,0,10
?,советов,PNCT,UNKN,0,1
люциферов,книжный,NOUN,ADJF,0,1
.,советов,PNCT,UNKN,0,10
ангел,согласно,NOUN,PREP,0,2
подводный,класс,ADJF,NOUN,0,2
разрабатывать,?,VERB,PNCT,0,2
не,я,UNKN,NPRO,0,10
?,советов,PNCT,UNKN,0,10
.,советов,PNCT,UNKN,0,10
парашют,купол,NOUN,NOUN,0,2
без,.,PREP,PNCT,0,1
подрезать,.,VERB,PNCT,0,1
пролить,который,PRTS,ADJF,0,1
сустав,порезать,NOUN,INFN,0,1
между,нога,PREP,NOUN,0,1
левый,в,ADJF,PREP,0,8
гражданский,президентский,ADJF,ADJF,0,8
радикальный,.,ADJF,PNCT,0,8
другой,финансировать,ADJF,PRTF,0,8
правый,политический,ADJF,ADJF,0,8
правый,.,NOUN,PNCT,0,8
глазьевский,что,ADJF,CONJ,0,8
на,лететь,PREP,VERB,0,1
этот,тепло,ADJF,ADVB,0,9
количество,.,NOUN,PNCT,0,1
.,полы,PNCT,UNKN,0,2
махать,платок,GRND,NOUN,0,1
он,быть,NPRO,VERB,0,2
бить,чтоб,VERB,CONJ,0,1
скосить,.,PRTF,PNCT,0,1
хлопать,перелететь,GRND,VERB,0,1
быть,ангел,VERB,NOUN,0,1
на,.,PREP,PNCT,0,9
под,родителеймиллионер,PREP,NOUN,1,9
большой,всплеснуть,ADJF,VERB,0,1
два,.,NUMR,PNCT,0,10
на,блаженство,PREP,NOUN,0,10
набрать,уже,GRND,ADVB,0,1
а,сотворить,CONJ,VERB,0,1
как,чувство,CONJ,NOUN,0,1
расправлять,набирать,PRTF,PRTF,0,1
белые,лететь,NOUN,VERB,0,1
вороний,сметать,ADJF,VERB,0,1
хлопать,пролетать,GRND,VERB,0,1
на,поднимать,PREP,VERB,0,1
с,подбирать,PREP,VERB,0,10
под,самолёт,PREP,NOUN,1,2
под,.,PREP,PNCT,1,1
под,точный,PREP,ADJF,1,9
и,.,CONJ,PNCT,0,6
под,у,PREP,PREP,1,2
он,быть,NPRO,VERB,0,2
полукруглый,вхутемас,ADJF,NOUN,0,6
от,и,PREP,CONJ,0,1
выдернуть,.,PRTF,PNCT,0,1
обледенение,над,NOUN,PREP,0,2
тяжёлый,соединить,ADJF,PRTF,0,1
под,?,PREP,PNCT,1,1
как,.,CONJ,PNCT,0,1
распускать,загораживать,VERB,GRND,0,1
или,бровь,CONJ,NOUN,0,1
сизый,распахнуться,ADJF,VERB,0,1
забить,и,VERB,CONJ,0,1
рука,и,NOUN,CONJ,0,1
острый,лопатка,ADJF,NOUN,0,10
тёмный,.,ADJF,PNCT,0,1
подержать,который,PRTF,ADJF,0,1
на,неужто,PREP,INTJ,0,1
под,великий,PREP,ADJF,1,9
под,рыхлый,PREP,ADJF,1,1
правый,шесть,NOUN,NUMR,0,8
расправить,он,INFN,NPRO,0,1
неподвижный,он,ADJF,NPRO,0,1
расправить,.,GRND,PNCT,0,1
